gene,mirna
5121,8
4750,8
4374,8
4374,8
4374,8
4374,8
4027,8
4027,8
3964,8
3592,8
3288,8
3082,8
3082,8
2667,8
2667,8
2404,8
2404,8
1118,8
1118,8
626,8
626,8
625,8
573,8
573,8
573,8
564,8
378,8
378,8
212,8
209,8
5237,8
5237,8
6738,8
5294,8
7087,8
6728,8
6491,8
2755,8
4185,8
3120,8
3120,8
6950,8
6950,8
6601,8
6601,8
5718,8
4767,8
4090,8
4090,8
4090,8
4090,8
1315,8
1296,8
4815,8
4815,8
4815,8
2530,8
2530,8
2530,8
2530,8
1518,8
1518,8
1518,8
1187,8
1187,8
5900,8
5900,8
5900,8
4522,8
4522,8
2653,8
2653,8
2050,8
6159,8
4867,8
5862,8
5862,8
6501,8
5293,8
7195,8
4332,8
2234,8
2032,8
1538,8
1134,8
1041,8
3623,8
98,8
5777,8
5255,8
5077,8
871,8
871,8
5084,8
2198,8
2198,8
4960,8
2844,8
2844,8
2074,8
7200,8
2860,8
499,8
3421,8
5924,8
792,8
6914,8
2025,8
1263,8
2155,8
1949,8
6504,8
3471,8
3471,8
4377,8
1574,8
2611,8
621,8
1965,8
161,8
161,8
161,8
4636,8
3633,8
2094,8
4481,8
1637,8
2711,8
3630,8
4067,8
4074,8
4198,8
5251,8
6744,8
7025,8
7237,8
7481,8
3375,8
5552,8
6962,8
3148,8
3148,8
3148,8
3148,8
1914,8
1529,8
5139,9
204,9
2988,9
6986,9
6986,9
6986,9
3185,9
1555,9
2913,9
1552,9
3148,10
3148,10
3148,10
1118,10
1118,10
1309,10
6845,10
1775,10
5807,10
6073,10
506,10
2893,10
1297,10
6794,10
6436,10
6476,10
6831,10
4134,10
3980,10
5900,10
5900,10
5900,10
5900,10
4982,10
1228,10
843,10
4604,10
6199,10
2020,10
6286,10
5958,10
4539,10
3327,10
3327,10
3327,10
2153,10
663,10
1009,10
2065,10
6085,10
3505,10
6049,10
432,10
6489,10
184,10
3325,10
3325,10
3325,10
3325,10
3325,10
5633,10
6868,10
6161,10
2981,10
4894,10
4692,10
5400,10
5596,10
3946,10
3622,10
6153,10
3854,10
5443,10
6356,10
5863,10
2824,10
1913,10
6904,10
419,10
6837,10
4546,10
6235,10
6992,10
4922,10
4365,10
5103,10
7002,10
1910,10
3538,10
1532,10
1901,10
3619,10
4524,10
622,10
5091,10
4815,10
4815,10
4815,10
4815,10
2844,10
2844,10
2844,10
448,10
4355,10
3457,10
2493,10
1357,10
5689,10
1627,10
5116,10
5998,10
5576,10
6572,10
5802,10
1124,10
5030,10
1486,10
6915,10
4085,10
3169,10
2588,10
5169,10
7380,10
4522,10
4522,10
4522,10
4808,10
5142,10
202,10
2161,10
5358,10
5358,10
5539,10
679,10
6811,10
4915,10
6628,10
6912,10
5071,10
5071,10
1473,10
7163,10
1099,10
2990,10
341,10
3177,10
2016,10
5854,10
1041,10
1041,10
6973,10
6058,10
2812,10
5327,10
5432,10
7202,10
1620,10
1429,10
4638,10
6121,10
1804,10
940,10
5566,10
6100,10
4777,10
3102,10
7131,10
2985,10
7390,10
4439,10
5774,10
1048,10
1263,10
1263,10
5605,10
6378,10
163,10
2281,10
2281,10
7377,10
480,10
480,10
480,10
6666,10
6666,10
6666,10
6666,10
6666,10
4860,10
658,10
5006,10
5006,10
5006,10
6653,10
6653,10
2950,10
2950,10
2950,10
2950,10
2950,10
2950,10
53,10
53,10
53,10
53,10
53,10
6940,10
5038,10
5038,10
5038,10
5038,10
976,10
7395,10
7395,10
1639,10
1639,10
6990,10
4052,10
917,10
917,10
917,10
917,10
917,10
917,10
917,10
1267,10
2096,10
1282,10
5126,10
1424,10
1424,10
1424,10
1424,10
5094,10
6166,10
6509,10
6509,10
825,10
825,10
